product_id,cert_reason_id
216084,13
171426,11
202196,11
207187,11
224594,11
61374,11
142963,11
142963,11
165942,11
153196,11
121386,11
79636,11
80796,11
269937,11
269948,11
164341,11
41275,13
145553,13
148179,13
243290,11
219852,11
245461,11
75160,11
253873,11
253874,11
109861,11
254098,11
260023,11
156286,11
174463,11
164845,11
197338,11
118023,11
133438,11
222297,13
78456,11
78451,11
83241,11
58863,11
38684,13
260222,13
50399,11
279915,13
182785,13
103912,11
75864,11
36364,11
231445,13
181664,11
42393,11
140837,11
148931,11
216458,11
175154,11
197867,11
264605,11
211967,13
117445,11
211869,11
185609,13
188686,11
172018,11
212771,13
282951,11
48875,11
157648,11
265242,13
50332,11
41333,11
176588,11
204348,11
232052,13
241993,13
242048,13
189011,13
270692,13
283242,11
274420,11
216084,10
171426,13
202196,13
207187,13
224594,10
61374,13
142963,13
142963,13
165942,13
153196,13
121386,13
79636,13
80796,13
269937,13
269948,13
164341,13
41275,10
145553,10
148179,10
243290,13
219852,10
245461,10
75160,13
253873,13
253874,13
109861,13
254098,13
260023,13
156286,13
174463,13
164845,13
197338,13
118023,13
133438,13
222297,10
78456,13
78451,13
83241,10
58863,13
38684,10
260222,10
50399,10
279915,10
182785,10
103912,13
75864,13
36364,13
231445,10
181664,13
42393,13
140837,13
148931,13
216458,13
175154,13
197867,13
264605,13
211967,10
117445,10
211869,13
185609,10
188686,10
172018,10
212771,10
282951,13
48875,13
157648,13
265242,10
50332,13
41333,13
176588,13
204348,13
232052,10
241993,10
242048,10
189011,10
270692,10
283242,10
274420,10
