PRODUCT_ID,PRODUCT_NAME,PRODUCT_IMAGE,CERT_ID,PRODUCT_CERT_ID,PRODUCT_START_DATE,PRODUCT_END_DATE,COMPANY_ID,G2B_ID,EL_ID
133438,조은퐁주방세제1100ml 사과향,http://data.greenproduct.go.kr/openProductImage.do?prodProd=133438&prod_img_size=250,19,15639,2020-06-09,2022-06-08,1258609788,null,303
222297,오클린 섬유유연제 3.0L(용기),http://data.greenproduct.go.kr/openProductImage.do?prodProd=222297&prod_img_size=250,19,23248,2020-11-30,2023-11-29,1278107762,null,306
78456,화인퐁 500ml,http://data.greenproduct.go.kr/openProductImage.do?prodProd=78456&prod_img_size=250,19,11687,2020-03-09,2022-02-02,1278602966,null,303
78451,화인퐁 1.3kg(리필),http://data.greenproduct.go.kr/openProductImage.do?prodProd=78451&prod_img_size=250,19,11687,2020-03-09,2022-02-02,1278602966,null,303
83241,브론디 핸드타올 3종 100매,http://data.greenproduct.go.kr/openProductImage.do?prodProd=83241&prod_img_size=250,19,12164,2020-05-28,2022-05-27,1328158657,null,321
58863,파파야플러스 주방세제 500ml,http://data.greenproduct.go.kr/openProductImage.do?prodProd=58863&prod_img_size=250,19,9607,2020-05-03,2022-05-02,1338124524,null,303
38684,파파야플러스 섬유유연제 300ml 리필,http://data.greenproduct.go.kr/openProductImage.do?prodProd=38684&prod_img_size=250,19,12318,2020-07-03,2022-07-02,1338124524,null,306
260222,파파야플러스 여성속옷전용세제,http://data.greenproduct.go.kr/openProductImage.do?prodProd=260222&prod_img_size=250,19,24010,2021-03-30,2024-03-29,1338124524,null,307
50399,베이직 페이퍼타올 플러스2P,http://data.greenproduct.go.kr/openProductImage.do?prodProd=50399&prod_img_size=250,19,17462,2019-08-22,2021-08-21,1378198090,null,321
279915,CHOBS(찹스)친환경 샴푸 바이 네이처 640ml (링거형),http://data.greenproduct.go.kr/openProductImage.do?prodProd=279915&prod_img_size=250,19,21377,2020-01-06,2022-01-05,1388182951,null,308
182785,네이쳐러브메레 친환경 유아세제 (쿨프레쉬용기형),http://data.greenproduct.go.kr/openProductImage.do?prodProd=182785&prod_img_size=250,19,17010,2021-05-08,2024-05-07,1418136619,null,307
103912,그린키스 참숯 주방세제 750ml,http://data.greenproduct.go.kr/openProductImage.do?prodProd=103912&prod_img_size=250,19,14251,2019-10-14,2021-08-20,1418202697,null,303
75864,HI SUPER 퐁(SJ-SFA) 13kg (용기형),http://data.greenproduct.go.kr/openProductImage.do?prodProd=75864&prod_img_size=250,19,11422,2019-12-16,2021-11-18,1598800241,null,303
36364,엔크린 주방용 세제(1종) 500g,http://data.greenproduct.go.kr/openProductImage.do?prodProd=36364&prod_img_size=250,19,7182,2019-12-16,2021-11-24,2068196651,null,303
231445,시월다래 친환경 샴푸 300ml,http://data.greenproduct.go.kr/openProductImage.do?prodProd=231445&prod_img_size=250,19,23556,2021-01-19,2024-01-18,2148691929,null,308
181664,푸르르미 500ml,http://data.greenproduct.go.kr/openProductImage.do?prodProd=181664&prod_img_size=250,19,18911,2020-09-21,2022-08-20,2158763345,null,303
42393,하이토피아 N610 3kg,http://data.greenproduct.go.kr/openProductImage.do?prodProd=42393&prod_img_size=250,19,15694,2020-06-22,2022-06-21,2188104794,null,303
140837,프릴 시크릿 오브 베이킹소다 그린허브향 1 L,http://data.greenproduct.go.kr/openProductImage.do?prodProd=140837&prod_img_size=250,19,17539,2019-09-05,2021-09-04,2208107931,null,303
148931,은나노스텝 주방세제 시즌2 550ml,http://data.greenproduct.go.kr/openProductImage.do?prodProd=148931&prod_img_size=250,19,18412,2020-04-20,2022-04-16,2318105383,null,303
216458,노블팜스 주방세제 1L,http://data.greenproduct.go.kr/openProductImage.do?prodProd=216458&prod_img_size=250,19,18412,2020-04-20,2022-04-16,2318105383,null,303
175154,TOP STEP 의류용 세탁세제 2.4L (리필용),http://data.greenproduct.go.kr/openProductImage.do?prodProd=175154&prod_img_size=250,19,18719,2020-07-20,2022-07-04,2318105383,null,307
197867,TOPSTEP 액상용 세탁세제 파워젤 2070,http://data.greenproduct.go.kr/openProductImage.do?prodProd=197867&prod_img_size=250,19,18719,2020-07-20,2022-07-04,2318105383,null,307
264605,TOPSTEP 의류용 세탁세제 센서티브 3.5L,http://data.greenproduct.go.kr/openProductImage.do?prodProd=264605&prod_img_size=250,19,18719,2020-07-20,2022-07-04,2318105383,null,307
211967,비오나 세탁세제 1.7L,http://data.greenproduct.go.kr/openProductImage.do?prodProd=211967&prod_img_size=250,19,21513,2020-02-10,2022-02-09,2698600904,null,307
117445,아름드리 핸드타올 고급형 100매,http://data.greenproduct.go.kr/openProductImage.do?prodProd=117445&prod_img_size=250,19,15531,2020-05-18,2022-05-17,3018219261,null,321
211869,에코버블 친환경 천연주방세제 510ml 용기,http://data.greenproduct.go.kr/openProductImage.do?prodProd=211869&prod_img_size=250,19,9702,2020-06-08,2022-06-03,3038152522,null,303
